,artist,album
1,BLACKPINK,_____ (AS IF IT’S YOUR LAST)
2,BOL4,Puberty Book _ Pum - EP
3,BTS,All Night
4,BTS,LOVE YOURSELF _ ‘Answer’
5,BTS,LOVE YOURSELF _ ‘Tear’
6,CHEN (EXO),____ ____ (Dear My Dear)
7,CHUNG HA,__ 12_ (Gotta Go)
8,CLC,Devil
9,EXO,Don’t Mess Up My Tempo
10,EXO,LOVE SHOT
11,GFRIEND,FEVER SEASON
12,HEIZE,We Don't Talk Together
13,iKON,NEW KIDS: THE FINAL
14,IU,BBIBBI (__)
15,IZ*ONE,COLOR*IZ
16,IZ*ONE,HEART*IZ
17,j-hope,Chicken Noodle Soup
18,Jay Park & Hit-Boy,K-TOWN
19,K/DA,POP/STARS
20,KARD,Dumb Litty
21,LEE HI,24ºC
22,MAMAMOO,White Wind EP
23,NCT DREAM,WE BOOM
24,PENTAGON,Positive
25,PENTAGON,SUM(ME:R)
26,Red Velvet,Summer Magic EP
27,SEVENTEEN,YOU MADE MY DAWN
28,SHAUN,Way Back Home
29,SHINee,‘The Story of Light’ Epilogue
30,Stray Kids,Double Knot
31,SUNMI,___ (LALALAY)
32,SUNMI,___ (Gashina)
33,TAEMIN,WANT
34,The Rose _ __ (Band),Dawn
35,Wanna One,1-1=0 (Nothing Without You)